txid,submit_ts_utc,confirm_ts_utc,confirm_block_height
1f83c638f3d50c8b49d7d4321b852ed2c96033d0d5d624207f50591a49639213,2025-10-30T17:03:24.146720+00:00,2025-10-30T17:06:04+00:00,996
e29b7ba0a79b60d6d4de650c4a12ec2165561f056f245ddd9c0d8f21085a4f6b,2025-10-30T17:03:24.600805+00:00,2025-10-30T17:06:04+00:00,996
70298ad45342e6288f64ef78b314687770cc5328f25848f660e21f24e6c92c16,2025-10-30T17:03:25.031942+00:00,2025-10-30T17:06:04+00:00,996
5b78b23770e93e01b52af5b91a52fe7f8d2f2c7a94ce4ec8f35743da48e615fe,2025-10-30T17:03:25.394912+00:00,2025-10-30T17:06:04+00:00,996
dd34d093823d585f3493518d2db6399a0c3e9ff95c723c243775370a947046b1,2025-10-30T17:03:25.728329+00:00,2025-10-30T17:06:04+00:00,996
aa80267545189ac92c37b909a1be1619c2dfae49c0e6cae7b998ba85bf2fbef1,2025-10-30T17:03:25.890087+00:00,2025-10-30T17:06:04+00:00,996
f8a4881cdae96c286b118e02125eb0fc75218b23f486e158771c4dfa941a7ae2,2025-10-30T17:03:26.047043+00:00,2025-10-30T17:06:04+00:00,996
e122db2abd9769488aea7417b5e4e991b11888dfc57f4c7d7a33fc05c28a167d,2025-10-30T17:03:26.207834+00:00,2025-10-30T17:06:04+00:00,996
1d8d9ce3e2e08f9f2b1855e629d3ef3d1e4e6b2dce88934294c46c75921aa42c,2025-10-30T17:03:26.368760+00:00,2025-10-30T17:06:04+00:00,996
84a4668a0318afe8831d0fcc9534a228e9d5ff2be41dd41e1d4fbf976957f89d,2025-10-30T17:03:26.528204+00:00,2025-10-30T17:06:04+00:00,996
9e50ff7f5fcdddb81ef5cf1848761e2ed87c16a8e639fba21569dc5d116ed312,2025-10-30T17:03:26.686994+00:00,2025-10-30T17:06:04+00:00,996
5b93322b2bf1c23f7b612d50a7022412d8b529f100d67fb901d54c026e4a7b2f,2025-10-30T17:03:26.844445+00:00,2025-10-30T17:06:04+00:00,996
0a073f3b0866c236c874268ae8a8dbdde18c25b2f7acdf5f51745b777487e3e2,2025-10-30T17:03:27.009644+00:00,2025-10-30T17:06:04+00:00,996
6682ab053ddc4a4f47d4518e935bedf552efd02a51174ecd9619792cdcc46c01,2025-10-30T17:03:27.170450+00:00,2025-10-30T17:06:04+00:00,996
2bb09c278e056f22dcaf0d51f876ae4a1676e5c720d19ce73065d1084ec7965a,2025-10-30T17:03:27.330411+00:00,2025-10-30T17:06:04+00:00,996
b1612c60835462cd925f6016ca1e9c9c0d22e2998a87176a4d53ce396fb1d364,2025-10-30T17:03:27.492581+00:00,2025-10-30T17:06:04+00:00,996
fb91b37677e959a15288b0ebc67f70f76d2f1042c0208f06d5b74d298232c127,2025-10-30T17:03:27.647123+00:00,2025-10-30T17:06:04+00:00,996
325f904f1aa40340f58aea0f01b353563e6b4b66dd4f1b5ee6b2f976836ff9be,2025-10-30T17:03:27.810011+00:00,2025-10-30T17:06:04+00:00,996
cd751d78da8a78655e2e1477164486625198ffeede8f8bebabf5c0a5f64214b1,2025-10-30T17:03:27.970579+00:00,2025-10-30T17:06:04+00:00,996
3ec8c111896dfdf4b9fe7f17db10fbe8fc1dc24370f470eedca949982a7e795c,2025-10-30T17:03:28.121824+00:00,2025-10-30T17:06:04+00:00,996
6ef244d425a0de95ee783eecc37026298f4490ad342885108d870c779b3686b7,2025-10-30T17:03:28.275192+00:00,2025-10-30T17:06:04+00:00,996
132209f7845c0102fbe423cc207372f8c5b1e3ee2f1aa17a23a60a49fcf0374e,2025-10-30T17:03:28.429493+00:00,2025-10-30T17:06:04+00:00,996
4bbd31340136399c8c4afbfe76b119bdd43c6dde6c728baada54bce5263eada2,2025-10-30T17:03:28.582206+00:00,2025-10-30T17:06:04+00:00,996
4f9cbb06be302f8bd175f4c0e924bdb5622a30c93c244b0b27df8df4b2fb7628,2025-10-30T17:03:28.737050+00:00,2025-10-30T17:06:04+00:00,996
473676ad1200fe6c82ca7ffb66e424e6ee04a88f50a6cf4f073f21a813f605f8,2025-10-30T17:03:28.892598+00:00,2025-10-30T17:06:04+00:00,996
ba7782a1a55d16828575bed4f1710f98baa121d9ea6fd6c57687a8f11bf54896,2025-10-30T17:03:29.011217+00:00,2025-10-30T17:06:04+00:00,997
53b48a5ce5e715799f3396751eba3baa7cf9840691b11535706b14ffa68dd29e,2025-10-30T17:03:29.133390+00:00,2025-10-30T17:06:04+00:00,997
bb3c7155573f6bd7050247ee6115bf1ffb32b30bb5969d5f942701dadcbdc107,2025-10-30T17:03:29.256225+00:00,2025-10-30T17:06:04+00:00,997
2ed239aca47ca3d87c2defe86be19780f1c41326a12cae73315246d401a46d7c,2025-10-30T17:03:29.376736+00:00,2025-10-30T17:06:04+00:00,997
1711d8d7d77563906f386a72979e633c59d4d0805807268f3b8a3eda2a432325,2025-10-30T17:03:29.515030+00:00,2025-10-30T17:06:04+00:00,997
353f1226b47a80dea6bd446e3cf5f7e40a3beec5861f7b9fd1ca071d066918fa,2025-10-30T17:03:29.634632+00:00,2025-10-30T17:06:04+00:00,997
593a533438eb9720da6fa53fe6c6944a86d808289ffc4871c2bf44da981ac54e,2025-10-30T17:03:29.754360+00:00,2025-10-30T17:06:04+00:00,997
b0e38ba12c8ae4a8f2ff060c2e072db66fd40503049a23ad98313d223a0c99af,2025-10-30T17:03:29.882187+00:00,2025-10-30T17:06:04+00:00,997
a569e950c39409963027596d39db2d4649457e766d192c363961dab5a11291b8,2025-10-30T17:03:29.998128+00:00,2025-10-30T17:06:04+00:00,997
d455e561634426ece4eb8ccabdbb275a0782da65ce16a1aababb83c8bf3df53c,2025-10-30T17:03:30.117180+00:00,2025-10-30T17:06:04+00:00,997
ae346df83efceb3d4d78094be973a10413956b2fa8ebce89482d943ec792ab88,2025-10-30T17:03:30.237186+00:00,2025-10-30T17:06:04+00:00,997
7243201927d9456e61799b6281064f17b766e11a3d299f582cc557ce29c63a66,2025-10-30T17:03:30.371724+00:00,2025-10-30T17:06:04+00:00,997
156faad54fdec1a964ffa6bbcd57d2124667f343804ab4287119dce7a8ca031f,2025-10-30T17:03:30.501277+00:00,2025-10-30T17:06:04+00:00,997
599d76c7d05eab9f3c44b4c9621844e20a48d69f2757fea89bddb779ecd8c6cf,2025-10-30T17:03:30.617795+00:00,2025-10-30T17:06:04+00:00,997
b36f6021bed78c2e46efb95ebd2714f8d81b21022d22ea286d2398eb881c9279,2025-10-30T17:03:30.736681+00:00,2025-10-30T17:06:04+00:00,997
b7bfef7c71d855f4ada2e5cf0230ed91d215e590b263386705ad5b03c8136a8b,2025-10-30T17:03:30.863810+00:00,2025-10-30T17:06:04+00:00,997
29f1d1de9a738aa9d33c4194db2505dc0c0cdac7aa3bd8d44f9037662ce2ae81,2025-10-30T17:03:30.984694+00:00,2025-10-30T17:06:04+00:00,997
f5d253ca4dc519f802d26a88984c55601a06fc274dca97f6b40b55877f1b9518,2025-10-30T17:03:31.114462+00:00,2025-10-30T17:06:04+00:00,997
a237e48edf2823966d0c5d2a1848b67a65afc0c2d732e91622f55a19735a91df,2025-10-30T17:03:31.231136+00:00,2025-10-30T17:06:04+00:00,997
ddf00ae21641433bfd51e5324458be4f4dc4783bdc1f55ebda466617f352af02,2025-10-30T17:03:31.353225+00:00,2025-10-30T17:06:04+00:00,997
75bbc8860be454a7218be95c7e742e22f1190cee170a2af6e514dec2e7db3845,2025-10-30T17:03:31.477474+00:00,2025-10-30T17:06:04+00:00,997
260427376a6bb857415cb3e64dfb35c2182c7f4dfa8539294dd6c6af1950bccc,2025-10-30T17:03:31.594514+00:00,2025-10-30T17:06:04+00:00,997
44507075fb5c07d0644af684040328e7f4111a976688479a8988472f7e933cb0,2025-10-30T17:03:31.718408+00:00,2025-10-30T17:06:04+00:00,997
ae8a97e33fa84f973986dd8f9f9b3a8f951fcb6891b1d19b2db5dd2c6619f6ba,2025-10-30T17:03:31.838784+00:00,2025-10-30T17:06:04+00:00,997
3055cd097c963600133c099f9acc6364bf01787dfb386bf188a4518e02adb399,2025-10-30T17:03:31.976747+00:00,2025-10-30T17:06:04+00:00,997
ce1410135a3761910c75904ddf1caef0e9f11aebe341ecd6527910a29c02ecc0,2025-10-30T17:03:32.093683+00:00,2025-10-30T17:06:04+00:00,997
2dab18d0c17671184c82f995371a2fb80ef5219d322f77b582d224ac0db56173,2025-10-30T17:03:32.220403+00:00,2025-10-30T17:06:04+00:00,997
05d8a396978c8be28c4ecb4ea532e9388bc3e11ce67f7359b7389eef37033810,2025-10-30T17:03:32.338096+00:00,2025-10-30T17:06:04+00:00,997
bb92d558da7b09c4eee736d5492f379b5c22f77196d1bf00b1a2b99894625db8,2025-10-30T17:03:32.458395+00:00,2025-10-30T17:06:04+00:00,997
6dc936acd7e612ab298bce31a9e6dcfde3f8629ec673579c0b9317c4d6faccbc,2025-10-30T17:03:32.581311+00:00,2025-10-30T17:06:04+00:00,997
695af3aa0b04cd46a8e3694ad29b63aa467c46cc6bbce9e4d649a31ba48bfce9,2025-10-30T17:03:32.710109+00:00,2025-10-30T17:06:04+00:00,997
26e4ecab91407fc8c37fc7ff2d9784208bd95b06558f1951d57d88b94504d50d,2025-10-30T17:03:32.839716+00:00,2025-10-30T17:06:04+00:00,997
6f1c6607d041ef4be058f5df13503a28da05162eaf32c0b7bfc528b6c6b47d84,2025-10-30T17:03:32.960647+00:00,2025-10-30T17:06:04+00:00,997
6f7e8e081a362e5530e8dad108792c8cb5d0430b24cf6bed7b9bd484f73eadcd,2025-10-30T17:03:33.088725+00:00,2025-10-30T17:06:04+00:00,997
