node,status,block_height,peer_count
node01,running,465,2
node02,running,465,2
node03,running,465,2
node04,running,465,2
node05,running,465,2
node06,running,465,2
node07,running,465,2
node08,running,465,2
node09,running,465,4
node10,running,465,6
node11,running,465,6
node12,running,465,6
node13,running,465,6
node14,running,465,6
node15,running,465,6
node16,running,465,4
node17,running,466,3
node18,running,466,5
node19,running,466,5
node20,running,466,5
node21,running,466,5
node22,running,466,5
node23,running,466,5
node24,running,466,5
node25,running,466,4
node26,running,466,4
node27,running,466,4
node28,running,466,4
node29,running,466,4
node30,running,466,4
node31,running,466,4
node32,running,466,4
node33,running,466,4
node34,running,466,4
node35,running,466,4
node36,running,467,4
node37,running,467,4
node38,running,467,4
node39,running,467,4
node40,running,467,4
node41,running,467,4
node42,running,467,4
node43,running,467,4
node44,running,467,4
node45,running,467,4
node46,running,467,4
node47,running,467,4
node48,running,467,4
node49,running,467,4
node50,running,467,4
node51,running,467,4
node52,running,467,4
node53,running,467,4
node54,running,467,4
node55,running,468,4
node56,running,468,4
node57,running,468,4
node58,running,468,4
node59,running,468,4
node60,running,468,4
node61,running,468,4
node62,running,468,4
node63,running,468,4
node64,running,468,2
